FEA Run,Global Fitness
1,1543722.1735450104
2,1125787.910363545
3,937616.0252544372
4,817993.8344797905
5,733296.8012838789
6,668740.7784489191
7,619605.2095446789
8,579457.5626880203
9,546260.7060339039
10,518718.7983005661
11,494241.70562921115
12,472692.20486797916
13,452898.1793716542
14,435243.81298757624
15,419283.2075864967
16,404380.46131237445
17,390647.297413761
18,378408.6338792937
19,367508.03016259527
20,357320.0926427849
21,347909.0437312638
22,339159.83001239545
23,331168.34736724384
24,323717.50957716856
25,316769.00364607933
26,310310.5895357504
27,304091.13494134473
28,298222.92645902367
29,292581.2394738983
30,287226.14225119655
31,282176.72466251237
32,277297.3202548814
33,272708.97254334786
34,268319.51082059223
35,264193.89379456575
36,260217.81334408943
37,256415.87838906355
38,252822.23612754187
39,249383.20742020648
40,246103.65370103985
41,242945.58178462752
42,239864.47925697133
43,236929.3286272733
44,234135.5477962821
45,231428.57515190053
46,228860.69576504207
47,226388.61285293422
48,224010.7671855049
49,221721.30724579454
50,219536.8467278637
