FEA Run,Global Fitness
1,1546778.55521261
2,1119541.9338912359
3,920794.0513664715
4,803333.377826335
5,714449.1259886825
6,649167.8397894616
7,592999.7069645887
8,550448.7303741627
9,515150.3390845693
10,484900.14499450254
11,457408.579662903
12,434091.0395325494
13,411950.59784443665
14,393854.0961822365
15,378668.14310536603
16,363128.3827898393
17,348211.979925132
18,334599.30554329924
19,322864.3474840539
20,312630.98673780455
21,302718.3624043516
22,293584.03586407186
23,283406.2674561215
24,274791.91829576343
25,266156.9562928616
26,258645.03208578762
27,251908.33848545438
28,245082.17812658031
29,238636.5178334321
30,232767.08528739715
31,227242.2049145772
32,221766.6821427909
33,216367.61758153792
34,211252.85276677043
35,206827.60810357504
36,202525.05070198153
37,198217.1380423442
38,193412.625739492
39,189460.22405100538
40,186032.96571615388
41,182569.26123822716
42,178923.64241740722
43,175120.47869983054
44,171780.12336720648
45,168345.34363553702
46,165174.0717509943
47,162206.85590457823
48,159527.24802743224
49,156816.12459869025
50,153829.98236236544
