FEA Run,Global Fitness
1,1603392.4342826365
2,1145800.2846632975
3,958888.2131644259
4,833361.3710288197
5,749280.4664510991
6,685268.7879496478
7,633822.7656780668
8,591858.2341436028
9,557512.6484771896
10,527537.5293387115
11,500926.11856244225
12,477340.7161942702
13,456303.2759450014
14,437379.1215772879
15,420413.9261758578
16,405268.85181904247
17,391569.3417935174
18,378829.1295966842
19,367196.06940792303
20,356817.9568506736
21,346953.3218505009
22,337891.42034874315
23,329288.80181500193
24,321232.3316306115
25,313878.44778237224
26,306992.4857215382
27,300344.5670929352
28,294293.35677293356
29,288417.0747292026
30,282903.55483079643
31,277655.154058223
32,272741.9004104858
33,268119.59259235417
34,263715.76333981426
35,259449.32862450913
36,255455.89469527273
37,251608.4187198893
38,247913.2480175231
39,244422.168551539
40,241101.9620412303
41,237931.34444059682
42,234943.91446734424
43,232144.33974756335
44,229377.24793602602
45,226761.23855110403
46,224249.10527872975
47,221816.4394179305
48,219453.6122455114
49,217159.5653089178
50,214942.0437169607
