FEA Run,Global Fitness
1,1069413234.0320318
2,919189685.3976761
3,906830932.845256
4,906731000.3465861
5,906727668.6830269
6,906724180.9549313
7,906700233.1984508
8,906517294.1760265
9,905162809.0829366
10,896199187.6511309
11,879962985.5685999
12,879393115.8541234
13,879392091.5555395
14,879392076.8556615
15,879392066.2559453
16,879392058.578382
17,879392054.0542583
18,879392053.9161983
19,879392053.104452
20,879392053.1043216
21,879392052.9162083
22,879392051.921371
23,879392051.9212761
24,879392051.9212488
25,879392051.5817384
26,879392051.1939452
27,879392050.9262904
28,879392050.9262899
29,879392050.9262894
30,879392049.9406567
31,879392049.9406567
32,879392049.9313303
33,879392049.9313303
34,879392049.9313303
35,879392049.9313303
36,879392049.9313303
37,879392049.9313303
38,879392049.9313303
39,879392049.9313303
40,879392049.0795716
41,879392048.9429859
42,879392048.9363723
43,879392048.9363712
44,879392048.9363712
45,879392048.9363712
46,879392044.9566368
47,879392044.9566368
48,879392044.9565736
49,879392044.9565401
50,879392044.9565398
