FEA Run,Global Fitness
1,622394658.7110893
2,415570566.8715001
3,363288342.383196
4,361169799.0837265
5,361167410.62314796
6,361167331.33158416
7,361167329.3188981
8,361167325.94278204
9,361167325.09751076
10,361167323.4553697
11,361167323.4059787
12,361167316.6552261
13,361167312.6480932
14,361167296.0231256
15,361167295.6252464
16,361167295.5961533
17,361167295.5961408
18,361167295.5961408
19,361167295.5961408
20,361167295.5961408
21,361167295.5961408
22,361167295.5961408
23,361167295.5961408
24,361167295.5961408
25,361167295.5961408
26,361167295.5961408
27,361167295.5961408
28,361167295.5961408
29,361167295.5961408
30,361167295.5961408
31,361167295.5961408
32,361167295.5961408
33,361167295.5961408
34,361167295.5961408
35,361167295.5961408
36,361167295.5961408
37,361167295.5961408
38,361167295.5961408
39,361167295.5961408
40,361167295.5961408
41,361167295.5961408
42,361167295.5961408
43,361167295.5961408
44,361167295.5961408
45,361167295.5961408
46,361167295.5961408
47,361167295.5961408
48,361167295.5961408
49,361167295.5961408
50,361167295.5961408
