FEA Run,Global Fitness
1,715560786.468687
2,575660620.0830564
3,544443361.8786345
4,541195849.4903187
5,538788854.9256104
6,538623927.6898286
7,538612675.3457646
8,538566741.8671327
9,538564972.0671754
10,538553692.0204084
11,538553492.6965343
12,538549762.9801555
13,538549695.2905664
14,538548875.5609236
15,538548832.1641854
16,538548793.1145421
17,538548792.4542582
18,538548785.5654211
19,538548785.5161558
20,538548785.1971613
21,538548785.1895227
22,538548785.178209
23,538548785.1747158
24,538548785.1702152
25,538548785.1698714
26,538548785.1692543
27,538548785.1687231
28,538548785.1663649
29,538548785.1604187
30,538548785.1604096
31,538548785.1603938
32,538548785.1603744
33,538548785.1603469
34,538548785.1603307
35,538548785.1603295
36,538548785.1603295
37,538548785.1603235
38,538548785.1603234
39,538548785.1603234
40,538548785.1603234
41,538548785.1603234
42,538548785.1603234
43,538548785.1603234
44,538548785.1603233
45,538548785.1603233
46,538548785.1603233
47,538548785.1603233
48,538548785.1603233
49,538548785.1603233
50,538548785.1603233
