FEA Run,Global Fitness
1,14.047157242768208
2,8.692947613986082
3,5.110887247260177
4,4.200455526675846
5,3.6669054972803505
6,3.4086932630580304
7,2.403592961074662
8,2.0702416806948105
9,1.5926214441435396
10,1.2561675890560058
11,1.0717906445356076
12,0.9045060045915396
13,0.844354933087136
14,0.781088558811398
15,0.7481461173169852
16,0.7481440960369103
17,0.7481436987798955
18,0.7481436986656473
19,0.7481436986592382
20,0.006660301777401845
21,0.00011326767018404738
22,3.2914888810076093e-06
23,9.165186907189593e-07
24,1.5439333811428924e-08
25,7.584429528861847e-09
26,3.370516754586106e-09
27,1.895657408823581e-09
28,1.4564283112861176e-09
29,3.068874043776759e-10
30,1.6265078173205438e-10
31,1.0216938406415466e-10
32,6.939204766354123e-11
33,2.915401253744676e-11
34,1.0317524612446505e-11
35,5.652811552181447e-12
36,3.695266315162371e-12
37,1.7554846465372975e-12
38,1.1053380433168059e-12
39,9.099387909827783e-13
40,7.003286839335487e-13
41,6.683542608243442e-13
42,5.013767179207207e-13
43,4.836131495267182e-13
44,4.658495811327157e-13
45,4.551914400963142e-13
46,4.551914400963142e-13
47,4.2321701698710967e-13
48,4.1966430330830917e-13
49,4.1966430330830917e-13
50,4.1966430330830917e-13
