FEA Run,Global Fitness
1,13.57001762509949
2,7.990382955293292
3,5.209645512147141
4,4.013341607137413
5,3.7049130948400912
6,2.404937813976805
7,2.0938911037760275
8,1.586856854761813
9,1.3637469398004716
10,1.2109228396717815
11,0.9692433965957581
12,0.8464540112857084
13,0.7829494166631261
14,0.7500409836623985
15,0.7500393604481457
16,0.7500393551175581
17,0.7500393550504616
18,0.7500393550488913
19,0.7500393550487741
20,0.7500393550487598
21,0.7500393550487598
22,0.7500393550487598
23,0.7500393550487598
24,0.7500393550487598
25,0.7500393550487598
26,0.7500393550487598
27,0.7500393550487598
28,0.7500393550487598
29,0.7500393550487598
30,0.7500393550487598
31,0.7500393550487598
32,0.7500393550487598
33,0.7500393550487598
34,0.7500393550487598
35,0.7500393550487598
36,0.7500393550487598
37,0.7500393550487598
38,0.7500393550487598
39,0.7500393550487598
40,0.7500393550487598
41,0.7500393550487598
42,0.7500393550487598
43,0.7500393550487598
44,0.7500393550487598
45,0.7500393550487598
46,0.7500393550487598
47,0.7500393550487598
48,0.7500393550487598
49,0.7500393550487598
50,0.7500393550487598
