FEA Run,Global Fitness
1,75052252.36823335
2,2918855.0313850716
3,399629.5340294531
4,68616.23224514969
5,6860.303215814574
6,1961.9822470522324
7,1137.9484569758135
8,894.270836178412
9,814.0883753209795
10,761.7822846895785
11,726.6026876432035
12,693.3078855369116
13,669.7053109255144
14,649.3292315216288
15,623.8159912995858
16,610.8641082235202
17,587.470239712245
18,564.3396513191965
19,539.9105809897508
20,520.6981760867681
21,500.05990601867813
22,477.8865317012688
23,449.72548785855577
24,425.60678067982855
25,404.19700552013256
26,386.9918373338365
27,375.5730062370384
28,368.0617307706491
29,354.6291733637493
30,351.0435223626142
31,335.89903918394725
32,330.777854525979
33,311.44857686352685
34,296.805760787756
35,272.0877323292288
36,255.84508351931905
37,238.37878067560442
38,231.39986285985654
39,223.1847374061523
40,219.11665435430004
41,215.95248694581184
42,214.62585230017928
43,211.80079519482624
44,211.29095551335976
45,210.5879177674769
46,210.18145960231757
47,209.88047606746855
48,209.6372646486818
49,209.4144166593614
50,209.17147888464294
