FEA Run,Global Fitness
1,67084773.39244597
2,3092815.8836067794
3,78209.37826266764
4,17992.8645447023
5,11030.195512433947
6,9752.862459120039
7,9366.578924997575
8,9123.901409078564
9,8977.23448574465
10,8847.820121182665
11,8713.386462979186
12,8618.1059991157
13,8523.223451600934
14,8440.503343703185
15,8350.171084606021
16,8260.213351486485
17,8169.531500048128
18,8097.223219172158
19,8039.141197976765
20,7997.654183547482
21,7946.9081129151655
22,7905.48244194786
23,7869.153365451767
24,7831.81936896838
25,7799.486944874562
26,7760.229237884393
27,7722.410512374871
28,7690.771262126357
29,7660.789104073987
30,7631.748345626106
31,7598.378175166199
32,7571.570020327936
33,7541.6161264062375
34,7515.552691573763
35,7486.073403833571
36,7459.973172097262
37,7430.848807044307
38,7403.097012567219
39,7370.5857284265685
40,7335.34691808046
41,7286.669805319436
42,7254.606207549788
43,7208.554602902008
44,7174.462254839756
45,7140.116489823122
46,7108.573725359165
47,7076.031092364457
48,7048.457480532151
49,7014.4192146989735
50,6987.119448386012
